Name,Lowest price,Price per slot,Trader price,Hash EN,Hash RU
.300 AAC Blackout AP,0,0,0,0d5c499ca3bb58095cfc33a2644ce262,d60c48271c0ca89a8f9a608cdc0d6d30
.300 BPZ AAC Blackout,0,0,0,31c5cb33d708f8501dd8120a5b632143,e80a6ab0a4cbd899809d5ffa80ac935d
.338 Lapua Magnum AP,"2,65","2,65","1,484",0eb32073c6b0d35b4193f5dd576051ad,aa773d5ce9151fd5be67bed6c5407443
.338 Lapua Magnum FMJ,"4,01","4,01",538,45c19dda4861f9fc20ea085c6b1fe85b,9188bf989c5f5abfb5b9e41ca00f4711
.338 Lapua Magnum TAC-X,839,839,616,08d78e041992eb8912eb2f519e92a7ad,423f4faf29c6c285d8312f9ff17803c8
.338 UPZ Lapua Magnum,0,0,0,14e2c5e6e79035cd424387e1deb944f6,36cc2dde12979805b33858a14ce0883e
.366 AP,0,0,0,fe52f1889403e5ab2f117bd2abd59ac7,8750720160ac6b75bfdb934610be1607
.366 TKM EKO,216,216,36,77b6299a1c7051179252c7e092f3758b,05091e76c3828c7ebdf1c446a0b74603
.366 TKM FMJ,47,47,24,b92f3268a1624d1abf3e5ec0f1554ee2,1abd63372f8a9dd468156ef040c7af74
.366 TKM Geksa,"1,735","1,735",32,b92f3268a1624d1abf3e5ec0f1554ee2,838fb4eda6264aed766ae8ea3bcbd0b3
.45 ACP AP,145,145,81,b92f3268a1624d1abf3e5ec0f1554ee2,9188bf989c5f5abfb5b9e41ca00f4711
.45 ACP FMJ,0,0,0,61796680ba16e241924f8b3953599801,61796680ba16e241924f8b3953599801
.45 ACP Hydra-Shok,898,898,55,61796680ba16e241924f8b3953599801,6730bb5d27d28b2ae9abf41b352e7423
.45 ACP Lasermatch FMJ,350,350,49,5ef2f52d8e33fd878a0cd965e118009d,147e847af67b29caefddd876b2f99cf6
.45 RIP,0,0,0,1b9fee53af06a5a995bf3fc0f90f7f74,1b9fee53af06a5a995bf3fc0f90f7f74
12.7x108 mm B-32,0,0,0,No hash,No hash
12.7x108 mm BZT-44M,0,0,0,No hash,No hash
12.7x55 mm PS12,338,338,157,20f30e4bf0b3f548290cc1805c17b5b7,82469525f76f11c80b3820c2f9f12bc3
12.7x55 mm PS12A,338,338,157,009d376eb8112e4d5b444e8cb06a948b,7d89ab5ee1f1a67bc1695be1c631768e
12.7x55 mm PS12B,"1,449","1,449",255,20f30e4bf0b3f548290cc1805c17b5b7,e03ab7d05cb9014d6ea22c94e7cd923f
"12/70 ""Poleva-3"" Slug",0,0,0,9de632e086be1902479e5edb75dbd870,54be2b8c7cae31557a7ee48019e8c892
"12/70 ""Poleva-6u"" Slug",0,0,0,4bd0d121f419476f3cd9c2101a2380c2,1d50d9bbdaf0e686498d61920f95f9b3
12/70 5.25mm Buckshot,0,0,0,e15e8d3099d49ffbe3a9b73e0fc52276,No hash
"12/70 8.5 mm ""Magnum"" Buckshot",0,0,0,367de9f1237c0897ee0848abf9760ee5,43234177d3e518fce77d7563b1aa6dc2
12/70 AP-20 Slug,0,0,0,8865b5f7c3f9b3d3c306bf9974d81beb,74c6dd062476c52fab525c71996f3c47
12/70 Dual Sabot Slug,0,0,0,8865b5f7c3f9b3d3c306bf9974d81beb,c23a7149761d49f3c2b17c65c1d1d3fb
12/70 FTX Custom LIte Slug,0,0,0,ec34d93c78ef57b99dbadf4f60efa3ae,d6c66ea6916af8c20a670c502ab0994c
12/70 Flechette,0,0,0,57ce49736d590f017eb80040f8ccf69c,2c7669cd282e822ea41c8ff231eb414b
12/70 Grizzly 40 Slug,0,0,0,eca8b53d1ced9d827cbecb395e9508c1,b88b46a7f479397c7a4598b61955844c
"12/70 HP Slug ""SuperFormance""",0,0,0,f1156fa1f9630c14c93fcd516d51a1d9,751acad3a1c53d97c69e79aa87225627
12/70 HP Slug Copper Sabot Premier,0,0,0,f1156fa1f9630c14c93fcd516d51a1d9,40913aa49e7103b8f81c3f0df1442461
"12x70 6.5 mm ""Express"" Buckshot",0,0,0,f1156fa1f9630c14c93fcd516d51a1d9,b063a6d64fb4f727e6afaf8ed82395ff
